Date,Open,Close,High,Low,Volume
2020-07-02,5957.21,6108.22,6108.64,5946.95,44287737
2020-07-03,6129.27,6268.92,6281.17,6129.27,51317868
2020-07-06,6344.71,6835.22,6853.61,6344.71,90987921
2020-07-07,6992.58,6800.29,7114.46,6793.99,87411578
2020-07-08,6754.51,6819.6,6912.59,6712.25,71189455
2020-07-09,6787.61,6738.52,6790.99,6675.77,62550394
2020-07-10,6649.79,6447.0,6667.0,6428.45,59673478
2020-07-13,6377.87,6415.94,6489.25,6338.68,56475615
2020-07-14,6373.63,6290.08,6402.86,6256.71,44066026
2020-07-15,6274.09,6125.62,6283.62,6115.62,41655206
2020-07-16,6141.19,6091.82,6212.04,6090.48,46885279
2020-07-17,6125.5,6094.94,6142.4,6048.46,32440286
2020-07-20,6119.06,6255.65,6264.75,6090.35,38801222
2020-07-21,6258.85,6197.91,6258.85,6176.62,24905724
2020-07-22,6194.29,6179.38,6268.49,6155.26,30884885
2020-07-23,6121.73,6071.64,6143.44,6015.84,32334992
2020-07-24,6053.75,5917.07,6064.2,5894.58,33815789
2020-07-27,5952.58,5871.61,5957.14,5847.75,21210452
2020-07-28,5908.94,5898.73,5925.67,5873.61,16888278
2020-07-29,5889.08,5976.55,5984.97,5867.29,23138222
2020-07-30,5972.44,5915.37,5977.86,5911.35,18425064
2020-07-31,5912.34,5915.35,5984.37,5883.46,23527203
2020-08-03,5951.28,5961.22,5975.16,5928.39,26504117
2020-08-04,5975.36,6113.39,6148.07,5956.65,46990986
2020-08-05,6073.06,6034.94,6073.38,5998.81,25137188
2020-08-06,6046.54,6083.49,6100.97,6008.99,23073392
2020-08-07,6062.16,6029.87,6089.07,6002.75,21147334
2020-08-10,6031.26,6089.46,6114.28,5991.4,23423170
2020-08-11,6095.54,6104.98,6225.47,6095.3,35812979
2020-08-12,6115.68,6141.24,6178.28,6078.77,26252116
2020-08-13,6150.66,6109.08,6154.92,6106.08,17538033
2020-08-14,6109.77,6202.2,6205.66,6099.25,23843644
2020-08-17,6216.75,6376.11,6437.67,6216.75,61646132
2020-08-18,6363.5,6316.86,6363.5,6281.44,32664222
2020-08-19,6309.94,6263.46,6330.96,6263.46,25215685
2020-08-20,6244.29,6171.61,6246.3,6160.32,22554680
2020-08-21,6214.39,6185.02,6214.39,6157.37,16826200
2020-08-24,6204.34,6146.57,6210.69,6141.96,17087695
2020-08-25,6169.26,6158.5,6202.11,6141.88,15438380
2020-08-26,6161.2,6108.88,6163.78,6094.76,17399488
2020-08-27,6116.41,6102.88,6117.41,6065.1,14775397
2020-08-28,6094.36,6239.56,6239.56,6075.25,25061783
2020-08-31,6257.35,6194.34,6318.89,6185.4,33269039
2020-09-01,6175.3,6180.77,6199.25,6154.26,19848917
2020-09-02,6180.4,6142.86,6184.74,6106.43,22572053
2020-09-03,6143.72,6115.18,6171.75,6101.45,18130232
2020-09-04,6067.92,6090.62,6102.11,6052.6,16403716
2020-09-07,6077.71,6067.59,6141.04,6062.97,17287851
2020-09-08,6090.04,6163.85,6163.85,6089.45,20334906
2020-09-09,6121.97,6130.16,6185.46,6106.93,18336547
2020-09-10,6162.0,6114.76,6166.12,6098.74,18629780
2020-09-11,6108.88,6067.66,6117.23,6036.52,15929532
2020-09-14,6072.97,6091.86,6092.91,6044.56,13747468
2020-09-15,6079.7,6108.21,6128.06,6065.1,12776937
2020-09-16,6111.69,6129.08,6149.55,6090.86,13576783
2020-09-17,6131.7,6112.33,6159.3,6108.8,12819957
2020-09-18,6118.25,6238.27,6238.27,6098.88,25825346
2020-09-21,6237.01,6191.57,6249.63,6184.47,16317781
2020-09-22,6162.17,6122.11,6210.74,6108.14,17470643
2020-09-23,6126.2,6092.53,6136.76,6086.94,12221371
2020-09-24,6079.82,6016.46,6080.17,6006.28,15430871
2020-09-25,6023.56,6009.73,6040.97,5997.72,11592726
2020-09-28,6016.68,6035.78,6046.97,5998.95,12778182
2020-09-29,6052.77,5964.88,6052.77,5964.88,12464995
2020-09-30,5974.37,5953.38,6008.8,5926.44,16063470
2020-10-09,5995.7,5967.8,6013.2,5962.52,14172385
2020-10-12,5982.01,6126.34,6138.4,5979.72,26681443
2020-10-13,6114.63,6128.1,6139.35,6093.68,19042811
2020-10-14,6134.56,6127.95,6140.62,6094.67,15378770
2020-10-15,6133.77,6216.33,6260.89,6131.37,22960837
2020-10-16,6207.35,6319.41,6368.26,6207.27,35654813
2020-10-19,6368.13,6345.34,6523.75,6337.12,37207897
2020-10-20,6343.83,6313.63,6347.12,6280.8,20348807
2020-10-21,6325.67,6428.83,6433.67,6289.26,25347846
2020-10-22,6439.32,6411.08,6517.01,6363.28,21306721
2020-10-23,6393.56,6453.99,6530.5,6385.26,26315334
2020-10-26,6463.13,6332.09,6469.33,6312.2,22504775
2020-10-27,6332.2,6308.45,6346.06,6295.86,15515785
2020-10-28,6310.23,6243.59,6328.07,6222.27,19292984
2020-10-29,6184.5,6243.02,6287.98,6180.16,18113387
2020-10-30,6259.75,6191.6,6322.48,6172.76,22140717
2020-11-02,6206.89,6187.25,6238.51,6142.08,20269376
2020-11-03,6226.01,6253.24,6323.83,6226.01,18687844
2020-11-04,6323.37,6348.33,6363.29,6280.49,17245633
2020-11-05,6382.22,6321.38,6403.04,6294.69,18167772
2020-11-06,6317.44,6301.01,6319.04,6254.05,16837642
2020-11-09,6330.15,6356.47,6375.16,6320.15,22173911
2020-11-10,6412.66,6400.43,6470.95,6378.99,23327932
2020-11-11,6406.49,6445.33,6468.54,6387.28,22715290
2020-11-12,6421.01,6374.4,6439.56,6366.19,13973412
2020-11-13,6342.81,6256.08,6342.81,6213.91,19177749
2020-11-16,6270.24,6284.49,6292.04,6254.32,14220088
2020-11-17,6286.34,6362.82,6371.07,6276.51,16218759
2020-11-18,6354.9,6504.7,6530.73,6349.44,29846712
2020-11-19,6504.45,6553.85,6570.54,6464.57,21772819
2020-11-20,6527.17,6514.79,6527.17,6483.33,15614082
2020-11-23,6508.1,6649.43,6663.04,6506.83,28111274
2020-11-24,6638.29,6614.05,6661.45,6600.11,19593944
2020-11-25,6662.46,6560.4,6702.24,6558.22,21176646
2020-11-26,6567.4,6651.26,6663.96,6563.79,19321928
2020-11-27,6686.28,6807.26,6807.26,6664.0,47557800
2020-11-30,6864.56,6746.23,7087.71,6746.23,79806378
2020-12-01,6752.55,6932.35,6968.44,6727.19,55666849
2020-12-02,6916.61,6896.11,6972.13,6841.62,38594876
2020-12-03,6899.61,6883.69,6932.47,6804.8,40137066
2020-12-04,6864.85,6794.62,6864.85,6730.52,35126568
2020-12-07,6785.21,6644.52,6797.73,6616.13,31559133
2020-12-08,6646.24,6601.98,6694.66,6587.86,27359394
2020-12-09,6622.55,6598.36,6694.8,6595.78,28396861
2020-12-10,6588.32,6558.06,6621.38,6514.86,24576720
2020-12-11,6567.92,6483.3,6580.68,6464.31,28460075
2020-12-14,6522.85,6550.11,6590.49,6514.11,22077125
2020-12-15,6544.79,6496.14,6544.79,6413.25,24598979
2020-12-16,6513.83,6508.56,6558.33,6482.88,20651087
2020-12-17,6500.68,6545.92,6550.33,6436.23,24923522
2020-12-18,6529.79,6461.27,6557.04,6437.32,19611259
2020-12-21,6453.94,6440.57,6481.24,6390.63,19655544
2020-12-22,6435.63,6334.29,6457.1,6327.53,26739090
2020-12-23,6331.45,6347.0,6359.84,6305.06,20229486
2020-12-24,6362.8,6382.28,6432.58,6356.25,15453865
2020-12-25,6386.6,6391.67,6395.13,6319.83,15239269
2020-12-28,6375.33,6435.77,6457.44,6347.85,21351802
2020-12-29,6448.27,6454.62,6482.08,6425.65,21618763
2020-12-30,6442.12,6472.09,6472.09,6402.15,22398517
2020-12-31,6469.48,6535.99,6588.18,6459.67,32764181
2021-01-04,6473.81,6410.63,6473.81,6351.29,36994971
2021-01-05,6378.66,6333.52,6378.92,6258.94,33223009
2021-01-06,6320.11,6484.12,6484.12,6312.29,27389972
2021-01-07,6493.1,6546.5,6561.91,6462.11,28838717
2021-01-08,6556.39,6574.85,6609.79,6512.55,24712000
2021-01-11,6597.73,6640.66,6711.17,6597.73,34213080
2021-01-12,6650.31,6731.7,6739.39,6603.2,28143490
2021-01-13,6711.82,6727.08,6747.92,6674.76,26927772
2021-01-14,6722.84,6721.51,6823.91,6700.97,28014011
2021-01-15,6861.71,6907.99,7084.75,6861.71,59763899
2021-01-18,6919.66,7069.28,7099.47,6913.19,39279618
2021-01-19,7061.09,7068.51,7147.54,6981.28,38078941
2021-01-20,7055.36,6990.14,7136.48,6969.62,26894015
2021-01-21,7032.45,7013.06,7089.81,6988.16,26781625
2021-01-22,7009.1,6890.95,7009.1,6847.55,26405018
2021-01-25,6845.96,6904.16,6930.78,6763.31,23374641
2021-01-26,6885.6,6878.91,6994.17,6864.18,22111680
2021-01-27,6884.03,6976.71,7054.71,6884.03,27297132
2021-01-28,6908.85,6908.85,6931.52,6859.7,23164881
2021-01-29,6940.9,6928.14,7016.9,6883.44,28230721
2021-02-01,6903.16,7095.43,7125.64,6858.59,30511730
2021-02-02,7043.5,7004.03,7116.68,6978.09,27157570
2021-02-03,7009.55,7132.35,7188.82,6966.62,28126517
2021-02-04,7085.35,7157.05,7264.49,7073.78,30532043
2021-02-05,7177.0,7370.7,7393.35,7161.99,57609035
2021-02-08,7367.71,7403.79,7429.45,7236.43,39559546
2021-02-09,7391.63,7391.78,7400.12,7290.78,30471108
2021-02-10,7430.8,7353.65,7524.08,7271.77,41229489
