日期,股票,类型,价格,股数,金额,手续费,红利补税
2022-01-13,建设银行,网格卖出,4.38,300,1314.00,1.16,0.00
2022-01-13,交通银行,网格买入,3.11,400,1244.00,0.50,0.00
2022-01-13,交通银行,网格卖出,3.16,400,1264.00,1.13,0.00
2022-01-13,交通银行,网格卖出,3.21,400,1284.00,1.14,0.00
2022-01-14,工商银行,网格买入,3.39,200,678.00,0.50,0.00
2022-01-14,工商银行,网格买入,3.37,200,674.00,0.50,0.00
2022-01-14,工商银行,网格买入,3.35,300,1005.00,0.50,0.00
2022-01-14,工商银行,网格买入,3.33,300,999.00,0.50,0.00
2022-01-14,工商银行,网格卖出,3.39,400,1356.00,1.18,0.00
2022-01-14,农业银行,网格买入,1.95,600,1170.00,0.50,0.00
2022-01-14,农业银行,网格买入,1.94,800,1552.00,0.50,0.00
2022-01-14,农业银行,网格卖出,1.99,900,1791.00,1.40,0.00
2022-01-14,中国银行,网格买入,2.09,500,1045.00,0.50,0.00
2022-01-14,中国银行,网格买入,2.08,600,1248.00,0.50,0.00
2022-01-14,中国银行,网格买入,2.07,700,1449.00,0.50,0.00
2022-01-14,中国银行,网格买入,2.06,800,1648.00,0.50,0.00
2022-01-14,中国银行,网格买入,2.05,1000,2050.00,0.50,0.00
2022-01-14,中国银行,网格卖出,2.1,1200,2520.00,1.76,0.00
2022-01-14,建设银行,网格买入,4.35,300,1305.00,0.50,0.00
2022-01-14,建设银行,网格买入,4.33,300,1299.00,0.50,0.00
2022-01-20,建设银行,网格卖出,4.39,400,1756.00,1.38,0.00
2022-01-20,交通银行,网格买入,3.16,300,948.00,0.50,0.00
2022-01-28,农业银行,再平衡卖出,1.94,600,1164.00,1.08,0.00
2022-01-28,中国银行,再平衡卖出,2.05,1900,3895.00,2.45,0.00
2022-01-28,建设银行,再平衡卖出,4.25,100,425.00,0.71,0.00
2022-01-28,工商银行,再平衡买入,3.31,200,662.00,0.50,0.00
2022-01-28,交通银行,再平衡买入,3.1,200,620.00,0.50,0.00
2022-01-28,邮储银行,再平衡买入,4.47,1100,4917.00,0.50,0.00
2022-02-07,工商银行,网格卖出,3.36,400,1344.00,1.17,0.00
2022-02-07,农业银行,网格卖出,1.97,600,1182.00,1.09,0.00
2022-02-07,中国银行,网格卖出,2.08,600,1248.00,1.12,0.00
2022-02-07,建设银行,网格卖出,4.31,300,1293.00,1.15,0.00
2022-02-07,建设银行,网格卖出,4.37,200,874.00,0.94,0.00
2022-02-07,交通银行,网格卖出,3.15,400,1260.00,1.13,0.00
2022-02-07,交通银行,网格卖出,3.2,300,960.00,0.98,0.00
2022-02-07,交通银行,网格卖出,3.25,200,650.00,0.82,0.00
2022-02-07,邮储银行,网格卖出,4.55,300,1365.00,1.18,4.17
2022-02-07,邮储银行,网格卖出,4.62,200,924.00,0.96,0.00
2022-02-07,邮储银行,网格卖出,4.69,200,938.00,0.97,0.00
2022-02-08,工商银行,网格卖出,3.41,300,1023.00,1.01,0.00
2022-02-08,工商银行,网格卖出,3.46,200,692.00,0.85,0.00
2022-02-08,工商银行,网格卖出,3.51,200,702.00,0.85,0.00
2022-02-08,农业银行,网格卖出,2,500,1000.00,1.00,0.00
2022-02-08,农业银行,网格卖出,2.03,400,812.00,0.91,0.00
2022-02-08,中国银行,网格卖出,2.11,500,1055.00,1.03,0.00
2022-02-08,建设银行,网格卖出,4.44,200,888.00,0.94,0.00
2022-02-08,建设银行,网格卖出,4.51,100,451.00,0.73,0.00
2022-02-08,建设银行,网格卖出,4.58,100,458.00,0.73,0.00
2022-02-08,交通银行,网格买入,3.23,200,646.00,0.50,0.00
2022-02-08,交通银行,网格卖出,3.28,200,656.00,0.83,0.00
2022-02-08,邮储银行,网格买入,4.64,100,464.00,0.50,0.00
2022-02-08,邮储银行,网格卖出,4.71,100,471.00,0.74,0.00
2022-02-08,邮储银行,网格卖出,4.78,100,478.00,0.74,0.00
2022-02-09,工商银行,网格买入,3.49,100,349.00,0.50,0.00
2022-02-09,工商银行,网格买入,3.47,200,694.00,0.50,0.00
2022-02-09,工商银行,网格卖出,3.52,200,704.00,0.85,0.00
2022-02-09,农业银行,网格买入,2.02,300,606.00,0.50,0.00
2022-02-09,农业银行,网格卖出,2.05,400,820.00,0.91,0.00
2022-02-09,中国银行,网格卖出,2.14,400,856.00,0.93,0.00
